watch_id,user_id,movie_id,date,duration_minutes
1,743a8e62-5d9f-4cd5-a201-a6df47c72a48,461369,2025-10-11,123
2,27fdafad-f6c7-4151-be60-2965dc017bd5,18239,2025-07-31,60
3,72a16f39-7d57-4f71-812e-445462fbfb06,1724,2025-07-27,99
4,d5d6afe7-baf0-4b79-ac8a-2513a65f1d3e,1315303,2025-09-22,47
5,f063145f-8d7a-4c71-9faa-8f08d549d474,1315303,2025-11-23,104
6,bd475dc2-bcf9-4abc-811a-1cf3d5dcae95,472815,2025-07-27,174
7,8dbb182c-0c50-4f83-965b-1d0a47790ed4,21407,2025-12-04,146
8,14bda2cd-e0ba-4935-b00c-191376524976,1263256,2025-08-26,48
9,236bcfcc-60a0-4a1d-8c0c-ee05a256fa61,63755,2025-08-08,73
10,d7441a98-caf5-451b-acc7-ec0975017be5,1316147,2025-11-14,117
11,7bb751da-bdac-4f0b-ac25-d540bb496fa3,76338,2025-10-09,158
12,be329e57-7e88-4675-955c-93063cd01cbd,46195,2025-07-10,42
13,1f150b08-79f8-4f7c-9ab7-c6d9b3bd6c74,377,2025-12-16,95
14,cd1e1560-43e4-46d6-909b-547f7205ceaa,64084,2025-12-20,120
15,274a8a22-0192-43b0-a149-e0d9ee9f8540,843,2025-08-08,140
16,6296bec1-6737-400e-bf82-084f60245ee8,1289888,2025-11-10,91
17,86062440-6c25-41d8-8f08-823c439c5b23,28,2025-08-04,22
18,997d7084-07b6-4e95-916a-bbc42d76f6e3,1148713,2025-08-10,91
19,8846adb0-326c-4d52-9cba-8a638d233990,4327,2025-07-24,63
20,b83e579f-0c2e-4cbd-a68b-ca14954f888e,588228,2025-07-08,108
21,0f745d39-f5f3-4bc8-b6bf-850d3e4c4cdf,1316147,2025-10-25,158
22,274a8a22-0192-43b0-a149-e0d9ee9f8540,1291040,2025-07-01,77
23,6b56f51a-f97f-421f-ac36-7251d27e07b9,128,2025-09-07,58
24,86845847-d856-4803-86a4-ae050c8d643f,228165,2025-08-06,128
