movie_id,user_id,date_id,total_watch_time,total_views,is_long_view
28,13,-1,36,1,0
28,45,-1,115,1,1
28,83,-1,114,1,1
28,178,-1,137,1,1
28,209,-1,57,1,0
28,262,-1,76,1,1
28,271,-1,22,1,0
28,348,-1,114,1,1
28,580,-1,164,1,1
28,598,-1,24,1,0
28,652,-1,68,1,1
28,704,-1,141,1,1
28,786,-1,101,1,1
87,35,-1,56,1,0
87,102,-1,82,1,1
87,115,-1,112,1,1
87,194,-1,39,1,0
87,229,-1,71,1,1
87,314,-1,108,1,1
87,393,-1,87,1,1
87,458,-1,72,1,1
87,484,-1,50,1,0
87,537,-1,60,1,1
87,654,-1,100,1,1
87,676,-1,119,1,1
87,681,-1,32,1,0
115,7,-1,110,1,1
115,151,-1,100,1,1
115,309,-1,81,1,1
115,505,-1,154,1,1
115,517,-1,102,1,1
115,530,-1,94,1,1
115,544,-1,138,1,1
115,609,-1,165,1,1
115,735,-1,121,1,1
128,43,-1,136,1,1
128,97,-1,117,1,1
128,136,-1,158,1,1
128,177,-1,116,1,1
128,187,-1,115,1,1
128,305,-1,122,1,1
128,327,-1,58,1,0
128,366,-1,102,1,1
128,427,-1,50,1,0
128,446,-1,142,1,1
128,534,-1,143,1,1
128,589,-1,159,1,1
128,613,-1,175,1,1
128,704,-1,110,1,1
128,758,-1,135,1,1
161,186,-1,94,1,1
161,297,-1,131,1,1
161,584,-1,54,1,0
161,793,-1,130,1,1
170,10,-1,127,1,1
170,249,-1,107,1,1
170,305,-1,159,1,1
170,336,-1,46,1,0
170,375,-1,21,1,0
170,407,-1,148,1,1
170,414,-1,124,1,1
170,577,-1,34,1,0
170,578,-1,68,1,1
170,758,-1,83,1,1
176,157,-1,108,1,1
176,198,-1,146,1,1
176,202,-1,111,1,1
176,259,-1,87,1,1
176,405,-1,77,1,1
176,595,-1,142,1,1
196,103,-1,160,1,1
196,190,-1,100,1,1
196,268,-1,121,1,1
196,396,-1,178,1,1
196,399,-1,153,1,1
196,695,-1,98,1,1
196,722,-1,36,1,0
197,96,-1,72,1,1
197,253,-1,62,1,1
197,347,-1,52,1,0
197,469,-1,86,1,1
197,501,-1,97,1,1
197,545,-1,89,1,1
197,766,-1,64,1,1
251,241,-1,176,1,1
251,255,-1,120,1,1
251,385,-1,141,1,1
251,500,-1,137,1,1
251,678,-1,74,1,1
251,737,-1,78,1,1
252,174,-1,44,1,0
252,198,-1,155,1,1
252,345,-1,67,1,1
252,432,-1,129,1,1
252,524,-1,69,1,1
252,548,-1,140,1,1
252,626,-1,128,1,1
252,655,-1,149,1,1
252,683,-1,77,1,1
252,795,-1,48,1,0
254,47,-1,137,1,1
254,138,-1,58,1,0
254,230,-1,67,1,1
254,267,-1,169,1,1
254,447,-1,121,1,1
254,470,-1,54,1,0
254,509,-1,129,1,1
297,134,-1,109,1,1
297,200,-1,53,1,0
297,271,-1,110,1,1
297,447,-1,73,1,1
297,482,-1,33,1,0
297,667,-1,55,1,0
297,680,-1,120,1,1
297,722,-1,109,1,1
297,732,-1,91,1,1
297,784,-1,143,1,1
298,11,-1,178,1,1
298,28,-1,26,1,0
298,206,-1,167,1,1
